registrable_domain,scam_category,source_url,archive_found,archive_filename,archive_url,local_path,error
r2.dev,technical_support,https://pub-ecd6830f8cf647b08e6b49e6e4d19796.r2.dev/6403.html,1,pub-ecd6830f8cf647b08e6b49e6e4d19796.r2.dev.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/technical_support/toppage_html/pub-ecd6830f8cf647b08e6b49e6e4d19796.r2.dev.html.gz,data\experiments\v1_1\scamferret_historical_html\technical_support\pub-ecd6830f8cf647b08e6b49e6e4d19796.r2.dev.html.gz,
stakeripple.com,cryptocurrency,http://stakeripple.com/,1,stakeripple.com.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/cryptocurrency/toppage_html/stakeripple.com.html.gz,data\experiments\v1_1\scamferret_historical_html\cryptocurrency\stakeripple.com.html.gz,
growth-trades.live,investment,https://growth-trades.live/,1,growth-trades.live.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/investment/toppage_html/growth-trades.live.html.gz,data\experiments\v1_1\scamferret_historical_html\investment\growth-trades.live.html.gz,
ciphercrestcapital.com,investment,https://ciphercrestcapital.com/,1,ciphercrestcapital.com.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/investment/toppage_html/ciphercrestcapital.com.html.gz,data\experiments\v1_1\scamferret_historical_html\investment\ciphercrestcapital.com.html.gz,
sharewealthcapital.com,investment,https://sharewealthcapital.com/,1,sharewealthcapital.com.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/investment/toppage_html/sharewealthcapital.com.html.gz,data\experiments\v1_1\scamferret_historical_html\investment\sharewealthcapital.com.html.gz,
cryptostockpulse.com,investment,https://cryptostockpulse.com/,1,cryptostockpulse.com.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/investment/toppage_html/cryptostockpulse.com.html.gz,data\experiments\v1_1\scamferret_historical_html\investment\cryptostockpulse.com.html.gz,
domainglobecapital.com,investment,https://domainglobecapital.com/,1,domainglobecapital.com.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/investment/toppage_html/domainglobecapital.com.html.gz,data\experiments\v1_1\scamferret_historical_html\investment\domainglobecapital.com.html.gz,
coinmarketgive.de,cryptocurrency,http://www.coinmarketgive.de/,1,www.coinmarketgive.de.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/cryptocurrency/toppage_html/www.coinmarketgive.de.html.gz,data\experiments\v1_1\scamferret_historical_html\cryptocurrency\www.coinmarketgive.de.html.gz,
dunscapitals.com,investment,https://dunscapitals.com/,1,dunscapitals.com.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/investment/toppage_html/dunscapitals.com.html.gz,data\experiments\v1_1\scamferret_historical_html\investment\dunscapitals.com.html.gz,
fitshoesshop.com,online_shopping,https://fitshoesshop.com/,1,fitshoesshop.com.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/online_shopping_english/toppage_html/fitshoesshop.com.html.gz,data\experiments\v1_1\scamferret_historical_html\online_shopping_english\fitshoesshop.com.html.gz,
bitfluxlimited.org,cryptocurrency,https://bitfluxlimited.org/,1,bitfluxlimited.org.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/cryptocurrency/toppage_html/bitfluxlimited.org.html.gz,data\experiments\v1_1\scamferret_historical_html\cryptocurrency\bitfluxlimited.org.html.gz,
satoshi-btc.com,cryptocurrency,http://satoshi-btc.com/,1,satoshi-btc.com.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/cryptocurrency/toppage_html/satoshi-btc.com.html.gz,data\experiments\v1_1\scamferret_historical_html\cryptocurrency\satoshi-btc.com.html.gz,
brownwealthtrade.com,investment,https://brownwealthtrade.com/,1,brownwealthtrade.com.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/investment/toppage_html/brownwealthtrade.com.html.gz,data\experiments\v1_1\scamferret_historical_html\investment\brownwealthtrade.com.html.gz,
hypergogostore.shop,online_shopping,https://hypergogostore.shop/,1,hypergogostore.shop.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/online_shopping_english/toppage_html/hypergogostore.shop.html.gz,data\experiments\v1_1\scamferret_historical_html\online_shopping_english\hypergogostore.shop.html.gz,
cazoofinace.com,investment,https://cazoofinace.com/,1,cazoofinace.com.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/investment/toppage_html/cazoofinace.com.html.gz,data\experiments\v1_1\scamferret_historical_html\investment\cazoofinace.com.html.gz,
harvest-growth.org,cryptocurrency,https://harvest-growth.org/,1,harvest-growth.org.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/cryptocurrency/toppage_html/harvest-growth.org.html.gz,data\experiments\v1_1\scamferret_historical_html\cryptocurrency\harvest-growth.org.html.gz,
mirrortrades.com,cryptocurrency,https://mirrortrades.com/,1,mirrortrades.com.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/cryptocurrency/toppage_html/mirrortrades.com.html.gz,data\experiments\v1_1\scamferret_historical_html\cryptocurrency\mirrortrades.com.html.gz,
florininvestments.com,investment,https://florininvestments.com/,1,florininvestments.com.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/investment/toppage_html/florininvestments.com.html.gz,data\experiments\v1_1\scamferret_historical_html\investment\florininvestments.com.html.gz,
tradingscoin.net,cryptocurrency,https://tradingscoin.net/,1,tradingscoin.net.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/cryptocurrency/toppage_html/tradingscoin.net.html.gz,data\experiments\v1_1\scamferret_historical_html\cryptocurrency\tradingscoin.net.html.gz,
bit-gpt.org,cryptocurrency,https://bit-gpt.org/,1,bit-gpt.org.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/cryptocurrency/toppage_html/bit-gpt.org.html.gz,data\experiments\v1_1\scamferret_historical_html\cryptocurrency\bit-gpt.org.html.gz,
profinex.org,investment,https://profinex.org/,1,profinex.org.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/investment/toppage_html/profinex.org.html.gz,data\experiments\v1_1\scamferret_historical_html\investment\profinex.org.html.gz,
liftcontech.com,investment,https://liftcontech.com/,1,liftcontech.com.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/investment/toppage_html/liftcontech.com.html.gz,data\experiments\v1_1\scamferret_historical_html\investment\liftcontech.com.html.gz,
avlimited.net,investment,https://avlimited.net/,1,avlimited.net.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/investment/toppage_html/avlimited.net.html.gz,data\experiments\v1_1\scamferret_historical_html\investment\avlimited.net.html.gz,
vistatradecapital.com,investment,https://vistatradecapital.com/,1,vistatradecapital.com.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/investment/toppage_html/vistatradecapital.com.html.gz,data\experiments\v1_1\scamferret_historical_html\investment\vistatradecapital.com.html.gz,
goldscepterfinances.com,investment,https://goldscepterfinances.com/,1,goldscepterfinances.com.html.gz,https://raw.githubusercontent.com/ScamFerret/artifact/master/dataset_training/scam_websites/investment/toppage_html/goldscepterfinances.com.html.gz,data\experiments\v1_1\scamferret_historical_html\investment\goldscepterfinances.com.html.gz,
